AreaName,Labor-Force,Employment,Unemployment-Number,Unemployment-Rate,CensusRatios-Emp,Census Ratios-Unemp
Maricopa city,400,300,0,8.20%,0.001001,0.000781
McFarland city,"5,200","4,400",800,15.30%,0.012656,0.019796
McKittrick CDP,100,0,0,17.30%,0.000124,0.000223
Mettler CDP,100,100,0,30.50%,0.000163,0.000624
Mojave CDP,"1,800","1,500",300,17.00%,0.00432,0.007626
Mountain Mesa CDP,100,100,0,11.40%,0.000336,0.000379
North Edwards CDP,400,300,100,15.90%,0.000947,0.001539
Oildale CDP,"14,900","13,000","1,900",12.60%,0.037472,0.046602
Onyx CDP,100,100,0,30.10%,0.000287,0.00107
Pine Mountain Club CDP,800,700,0,3.20%,0.002096,0.000602
Randsburg CDP,0,0,0,0.00%,0.000067,0
Ridgecrest city,"13,500","13,000",500,4.00%,N/A,N/A
Rosamond CDP,"9,200","8,100","1,100",11.60%,0.023397,0.026556
Rosedale CDP,"8,500","8,000",500,6.20%,0.023013,0.013044
Shafter city,"6,700","5,900",800,11.60%,0.017064,0.019318
South Taft CDP,700,600,100,13.20%,0.001658,0.002185
Squirrel Mountain Valley CDP,300,300,0,5.10%,0.000747,0.000357
Stallion Springs CDP,"1,100","1,000",200,13.70%,0.002831,0.003902
Taft city,"3,000","2,800",200,5.10%,0.008142,0.003755
Taft Heights CDP,"1,200","1,000",200,14.20%,0.003001,0.004281
Tehachapi city,"3,800","3,500",300,7.60%,0.009967,0.007098
Tupman CDP,100,100,0,19.10%,0.000206,0.000424
Valley Acres CDP,200,200,0,13.20%,0.000433,0.00058
Wasco city,"8,700","7,200","1,500",17.40%,N/A,N/A
Weedpatch CDP,"1,000",900,100,9.40%,0.002568,0.002297
Weldon CDP,"1,100",900,200,15.60%,0.00265,0.004214
Wofford Heights CDP,500,500,0,3.50%,0.001364,0.000424
Calaveras County                                            ,"20,810","19,630","1,180",5.70%,1,1
Angels city,"1,930","1,910",20,1.00%,0.097122,0.01606
Arnold CDP,"1,140","1,080",60,5.20%,0.055237,0.05063
Avery CDP,310,280,30,8.50%,0.014307,0.02218
Copperopolis CDP,"2,130","2,020",110,5.10%,0.102988,0.09215
Dorrington CDP,70,70,0,0.00%,0.003562,0
Forest Meadows CDP,790,760,30,4.30%,0.038575,0.02901
Mokelumne Hill CDP,250,210,40,16.70%,0.010625,0.03527
Mountain Ranch CDP,300,270,30,10.20%,0.013885,0.02617
Murphys CDP,930,870,60,5.90%,0.044491,0.04664
Rancho Calaveras CDP,"3,250","3,030",220,6.70%,0.154362,0.18487
San Andreas CDP,"1,530","1,490",50,3.10%,0.075641,0.03982
Valley Springs CDP,"1,850","1,750",100,5.40%,0.089285,0.08476
West Point CDP,200,180,20,8.60%,0.009176,0.01422
Butte County                                                ,"101,700","95,000","6,700",6.60%,1,1
Biggs city,800,700,100,11.20%,0.007717,0.013696
Chico city,"47,700","45,300","2,400",5.10%,N/A,N/A
Concow CDP,200,200,0,11.30%,0.001648,0.003018
Durham CDP,"2,800","2,700",100,3.90%,0.028456,0.016281
Gridley city,"2,900","2,700",200,7.70%,0.02827,0.033339
Magalia CDP,"4,600","4,200",400,9.60%,0.043815,0.06613
Oroville city,"6,800","6,300",500,7.30%,0.066346,0.073527
Oroville East CDP,"3,000","2,900",200,5.60%,0.03006,0.025428
Palermo CDP,"2,100","1,900",200,11.70%,0.01971,0.037135
Paradise town,"11,200","10,500",700,6.40%,N/A,N/A
South Oroville CDP,"1,300","1,200",100,8.40%,0.012228,0.015915
Thermalito CDP,"2,400","2,200",300,10.90%,0.02283,0.039239
Colusa County                                               ,"10,910","9,210","1,700",15.50%,1,1
Arbuckle CDP,"1,770","1,440",330,18.80%,0.15599,0.1963
Colusa city,"2,900","2,500",390,13.60%,0.27175,0.2319
Williams city,"2,880","2,390",490,17.00%,0.25953,0.2893
Contra Costa County                                         ,"553,600","528,900","24,800",4.50%,1,1
Alamo CDP,"7,000","6,800",200,2.50%,0.012928,0.007032
Antioch city,"50,600","47,800","2,800",5.60%,N/A,N/A
Bay Point CDP,"11,200","10,400",900,7.60%,0.01965,0.034514
Bethel Island CDP,700,700,0,2.10%,0.001313,0.000599
Brentwood city,"28,000","26,700","1,400",4.90%,N/A,N/A
Byron CDP,600,600,0,4.20%,0.001158,0.001084
Clayton city,"5,600","5,400",200,3.60%,0.010151,0.008184
Clyde CDP,500,500,0,1.60%,0.001022,0.000346
Concord city,"65,400","62,700","2,700",4.10%,N/A,N/A
Crockett CDP,"1,700","1,700",100,4.00%,0.003133,0.00279
Danville town,"20,700","19,900",800,4.00%,N/A,N/A
Diablo CDP,200,200,0,0.00%,0.000431,0
Discovery Bay CDP,"7,500","7,200",300,4.10%,0.013584,0.012542
East Richmond Heights CDP,"1,900","1,800",0,2.40%,0.00344,0.001821
El Cerrito city,"13,700","13,200",500,3.50%,N/A,N/A
El Sobrante CDP,"7,100","6,800",400,5.10%,0.0128,0.014778
Hercules city,"13,800","13,200",600,4.00%,N/A,N/A
Kensington CDP,"3,100","3,000",100,2.10%,0.005683,0.002605
Knightsen CDP,700,600,0,4.00%,0.001193,0.001061
Lafayette city,"12,400","12,000",400,3.60%,N/A,N/A
Martinez city,"20,500","19,700",800,4.10%,N/A,N/A
Mountain View CDP,"1,500","1,400",200,10.30%,0.002596,0.00634
Oakley city,"19,200","18,200","1,000",5.20%,N/A,N/A
Orinda city,"8,500","8,300",200,2.60%,0.015688,0.009093
Pacheco CDP,"2,200","2,100",200,7.60%,0.003879,0.006801
Pinole city,"9,700","9,300",300,3.40%,0.01763,0.013174
Pittsburg city,"33,600","31,800","1,700",5.20%,N/A,N/A
Pleasant Hill city,"18,100","17,300",700,4.10%,N/A,N/A
Port Costa CDP,200,200,0,0.00%,0.000357,0
Richmond city,"52,800","50,200","2,600",5.00%,N/A,N/A
Rodeo CDP,"4,600","4,400",200,5.00%,0.0083,0.009337
Rollingwood CDP,"1,500","1,400",100,5.80%,0.002629,0.003458
San Pablo city,"13,600","13,000",700,4.90%,N/A,N/A
San Ramon city,"39,500","38,000","1,500",3.70%,N/A,N/A
Tara Hills CDP,"2,300","2,100",200,7.80%,0.003996,0.007285
Vine Hill CDP,"2,000","1,800",100,7.10%,0.003495,0.005741
Walnut Creek city,"34,000","32,700","1,300",3.90%,N/A,N/A
Del Norte County                                            ,"9,760","9,030",730,7.50%,1,1
Bertsch Oceanview CDP,810,710,100,12.10%,0.07902,0.13353
Crescent City city,"1,500","1,420",70,4.90%,0.15748,0.10059
Klamath CDP,340,290,60,16.70%,0.03161,0.07781
Imperial County                                             ,"75,200","57,000","18,200",24.10%,1,1
Brawley city,"11,500","8,500","3,000",26.40%,N/A,N/A
Calexico city,"17,400","12,500","4,800",27.90%,N/A,N/A
Calipatria city,"1,300","1,000",300,24.60%,0.016997,0.017404
El Centro city,"20,300","15,700","4,600",22.50%,N/A,N/A
Heber CDP,"1,900","1,400",500,28.70%,0.023847,0.030129
Holtville city,"2,300","1,800",400,19.50%,0.032283,0.024642
Imperial city,"8,200","6,500","1,600",20.20%,0.113998,0.090761
Westmorland city,700,600,200,20.80%,0.010292,0.008458
El Dorado County                                            ,"88,900","84,300","4,600",5.10%,1,1
Cameron Park CDP,"9,500","9,000",500,5.30%,0.107216,0.11063
Diamond Springs CDP,"5,300","5,000",300,5.90%,0.059634,0.06925
El Dorado Hills CDP,"21,400","20,600",800,3.90%,0.244105,0.18234
Georgetown CDP,900,800,100,7.80%,0.009833,0.01528
Placerville city,"4,600","4,300",300,5.80%,0.051112,0.05755
