AreaName,Labor-Force,Employment,Unemployment-Number,Unemployment-Rate,CensusRatios-Emp,CensusRatios-Unemp
Mountain Mesa CDP,100,100,0,11.90%,0.000292,0.000438
North Edwards CDP,400,400,0,10.40%,0.001043,0.001387
Oildale CDP,"15,100","13,400","1,800",11.60%,0.037544,0.057057
Onyx CDP,200,200,0,0.00%,0.000429,0
Pine Mountain Club CDP,700,700,0,5.40%,0.001927,0.001266
Randsburg CDP,0,0,0,0.00%,0.000066,0
Ridgecrest city,"13,700","13,300",400,3.00%,N/A,N/A
Rosamond CDP,"8,700","7,900",800,9.70%,0.022157,0.027409
Rosedale CDP,"8,500","8,000",400,5.20%,0.022485,0.014337
Shafter city,"7,400","6,700",700,9.30%,0.018794,0.02237
South Taft CDP,600,500,100,14.00%,0.001436,0.002702
Squirrel Mountain Valley CDP,300,300,0,6.70%,0.000864,0.000706
Stallion Springs CDP,"1,300","1,100",200,12.40%,0.003104,0.005039
Taft city,"2,900","2,800",100,3.60%,0.007894,0.003432
Taft Heights CDP,"1,200","1,100",100,9.50%,0.002952,0.003554
Tehachapi city,"3,800","3,600",200,4.80%,0.010215,0.005964
Tupman CDP,100,0,0,19.20%,0.000119,0.000316
Valley Acres CDP,200,200,0,6.30%,0.000459,0.000365
Wasco city,"8,700","7,500","1,200",14.10%,N/A,N/A
Weedpatch CDP,900,800,100,9.10%,0.002321,0.002702
Weldon CDP,900,800,100,7.60%,0.002374,0.002264
Wofford Heights CDP,600,600,0,2.70%,0.001543,0.000487
Angels city,"1,810","1,810",0,0.20%,0.088212,0.003123
Arnold CDP,"1,270","1,210",60,4.80%,0.058848,0.0726
Avery CDP,320,290,20,7.30%,0.014293,0.027322
Copperopolis CDP,"2,320","2,250",80,3.20%,0.109682,0.088212
Dorrington CDP,80,80,0,0.00%,0.003947,0
Forest Meadows CDP,810,770,50,5.50%,0.037438,0.053084
Mokelumne Hill CDP,220,170,50,22.90%,0.008373,0.060109
