AreaName,Labor-Force,Employment,Unemployment-Number,Unemployment-Rate,CensusRatios-Emp,CensusRatios-Unemp
Alameda County                                              ,"840,200","809,400","30,900",3.70%,1,1
Alameda city,"41,700","40,300","1,400",3.50%,N/A,N/A
Albany city,"9,800","9,500",300,2.80%,0.011767,0.008876
Ashland CDP,"11,400","10,700",700,5.80%,0.013267,0.021457
Berkeley city,"63,000","60,800","2,200",3.50%,N/A,N/A
Castro Valley CDP,"32,400","31,300","1,100",3.40%,0.038673,0.035581
Cherryland CDP,"7,400","6,900",400,6.00%,0.008583,0.01433
Dublin city,"31,100","30,200","1,000",3.20%,N/A,N/A
Emeryville city,"7,500","7,300",200,3.10%,0.009022,0.007616
Fairview CDP,"5,200","5,100",100,1.90%,0.006282,0.003253
Fremont city,"119,000","115,000","3,900",3.30%,N/A,N/A
Hayward city,"78,200","75,100","3,100",4.00%,N/A,N/A
Livermore city,"48,300","46,800","1,500",3.10%,N/A,N/A
Newark city,"24,900","24,000",900,3.50%,N/A,N/A
Oakland city,"212,600","203,700","8,900",4.20%,N/A,N/A
Piedmont city,"5,200","5,100",100,2.30%,0.006303,0.003949
Pleasanton city,"41,400","40,000","1,300",3.20%,N/A,N/A
San Leandro city,"46,800","45,000","1,800",3.80%,N/A,N/A
San Lorenzo CDP,"12,600","12,100",500,3.90%,0.014994,0.01574
Sunol CDP,500,500,0,3.00%,0.000592,0.000489
Union City city,"37,300","35,900","1,400",3.70%,N/A,N/A
Alpine County                                               ,550,520,30,6.20%,1,1
Alpine Village CDP,100,100,0,0.00%,0.195187,0
Bear Valley CDP,40,40,0,0.00%,0.07754,0
Kirkwood CDP,60,60,0,0.00%,0.1138,0
Markleeville CDP,60,60,0,0.00%,0.120321,0
Mesa Vista CDP,100,80,20,18.40%,0.15508,0.53125
Amador County                                               ,"14,730","14,000",730,5.00%,1,1
Amador City city,70,60,10,10.10%,0.004463,0.009482
Ione city,"1,680","1,560",120,7.00%,0.111648,0.161196
Jackson city,"2,120","2,030",80,4.00%,0.145344,0.115244
Plymouth city,570,550,20,3.20%,0.039051,0.024799
Sutter Creek city,980,950,20,2.40%,0.06806,0.032093
Orange County                                               ,"1,609,800","1,553,400","56,400",3.50%,1,1
Aliso Viejo CDP,"30,200","29,200","1,000",3.20%,N/A,N/A
Anaheim city,"170,600","164,200","6,400",3.80%,N/A,N/A
Brea city,"22,500","21,800",700,3.30%,N/A,N/A
Buena Park city,"40,300","38,800","1,600",3.90%,N/A,N/A
Costa Mesa city,"65,600","63,500","2,100",3.20%,N/A,N/A
Coto de Caza CDP,"7,400","7,200",200,2.80%,0.004617,0.003728
Cypress city,"24,900","24,100",900,3.50%,N/A,N/A
Dana Point city,"18,700","18,100",600,3.30%,N/A,N/A
Fountain Valley city,"28,400","27,400","1,000",3.70%,N/A,N/A
Fullerton city,"70,200","67,700","2,500",3.60%,N/A,N/A
Garden Grove city,"81,900","78,700","3,200",3.90%,N/A,N/A
Huntington Beach city,"108,800","105,000","3,800",3.50%,N/A,N/A
Irvine city,"144,200","139,400","4,800",3.30%,N/A,N/A
La Habra city,"30,900","29,800","1,100",3.60%,N/A,N/A
La Palma city,"7,900","7,700",200,2.90%,0.004947,0.004071
Laguna Beach city,"12,600","12,200",400,3.20%,N/A,N/A
Laguna Hills city,"17,100","16,500",600,3.30%,N/A,N/A
Laguna Niguel city,"35,400","34,200","1,200",3.30%,N/A,N/A
Laguna Woods city,"3,500","3,400",100,2.60%,0.002172,0.001614
Lake Forest city,"48,100","46,600","1,500",3.10%,N/A,N/A
Las Flores CDP,"2,900","2,800",100,2.40%,0.001824,0.001249
Los Alamitos city,"5,700","5,500",200,3.80%,0.003539,0.003842
Mission Viejo city,"49,800","48,100","1,800",3.50%,N/A,N/A
Newport Beach city,"45,200","43,700","1,400",3.20%,N/A,N/A
Orange city,"72,300","69,800","2,500",3.40%,N/A,N/A
Placentia city,"25,900","25,000",900,3.50%,N/A,N/A
Rancho Santa Margarita city,"27,800","26,900",900,3.10%,N/A,N/A
Rossmoor CDP,"5,100","5,000",100,2.90%,0.003199,0.002582
San Clemente city,"31,800","30,800","1,100",3.40%,N/A,N/A
San Juan Capistrano city,"17,100","16,600",500,3.20%,N/A,N/A
Santa Ana city,"157,500","151,800","5,700",3.60%,N/A,N/A
Seal Beach city,"10,000","9,600",400,4.00%,N/A,N/A
Stanton city,"18,500","17,800",700,3.90%,N/A,N/A
Tustin city,"42,800","41,300","1,400",3.30%,N/A,N/A
Villa Park city,"2,600","2,400",100,5.40%,0.001554,0.002426
Westminster city,"41,900","40,300","1,700",4.00%,N/A,N/A
Yorba Linda city,"35,000","33,800","1,100",3.30%,N/A,N/A
Kern County                                                 ,"384,800","349,500","35,300",9.20%,1,1
Arvin city,"9,100","8,300",800,8.90%,0.023641,0.022857
Bakersfield city,"175,000","163,700","11,300",6.40%,N/A,N/A
Bear Valley Springs CDP,"1,900","1,800",100,4.50%,0.005225,0.002434
Bodfish CDP,400,400,100,17.70%,0.001025,0.002191
Boron CDP,800,800,0,4.90%,0.002151,0.001095
Buttonwillow CDP,600,500,100,13.20%,0.001448,0.002166
California City city,"4,900","3,900","1,000",19.70%,0.01126,0.027311
China Lake Acres CDP,700,600,100,16.40%,0.00168,0.003262
Delano city,"22,200","16,600","5,600",25.10%,N/A,N/A
Derby Acres CDP,100,100,0,4.80%,0.000283,0.000146
Dustin Acres CDP,300,200,0,8.70%,0.000691,0.000657
Edwards AFB CDP,400,400,0,8.50%,0.001105,0.001022
Fellows CDP,0,0,0,7.70%,0.000069,0.000049
Ford City CDP,"2,100","1,900",200,9.90%,0.005332,0.005793
Frazier Park CDP,900,800,100,10.10%,0.002374,0.002629
Golden Hills CDP,"4,200","4,000",200,4.70%,0.011433,0.005526
Inyokern CDP,300,300,0,0.00%,0.000766,0
Johannesburg CDP,0,0,0,0.00%,0,0
Keene CDP,100,100,0,23.60%,0.000325,0.000998
Kernville CDP,600,600,0,0.00%,0.001701,0
Lake Isabella CDP,"1,600","1,400",200,11.10%,0.00401,0.004966
Lake of the Woods CDP,500,500,0,4.20%,0.001442,0.000609
Lamont CDP,"7,100","6,600",500,7.30%,0.018922,0.014629
Lebec CDP,900,700,100,16.40%,0.002044,0.003968
Lost Hills CDP,900,900,0,4.40%,0.002446,0.001095
Maricopa city,300,300,0,13.90%,0.000816,0.00129
McFarland city,"5,500","4,800",700,12.00%,0.013799,0.01867
McKittrick CDP,100,0,0,16.40%,0.000131,0.000268
Mettler CDP,100,100,0,14.10%,0.000158,0.000243
Mojave CDP,"1,800","1,500",300,17.20%,0.004275,0.008812
Mountain Mesa CDP,100,100,0,12.80%,0.000292,0.000438
North Edwards CDP,400,400,0,11.90%,0.001043,0.001387
Oildale CDP,"15,100","13,100","2,000",13.30%,0.037544,0.057057
Onyx CDP,200,200,0,0.00%,0.000429,0
Pine Mountain Club CDP,700,700,0,6.30%,0.001927,0.001266
Randsburg CDP,0,0,0,0.00%,0.000066,0
Ridgecrest city,"13,500","13,000",500,3.60%,N/A,N/A
Rosamond CDP,"8,700","7,700","1,000",11.10%,0.022157,0.027409
Rosedale CDP,"8,400","7,900",500,6.10%,0.022485,0.014337
Shafter city,"7,400","6,600",800,10.70%,0.018794,0.02237
South Taft CDP,600,500,100,15.90%,0.001436,0.002702
Squirrel Mountain Valley CDP,300,300,0,7.60%,0.000864,0.000706
Stallion Springs CDP,"1,300","1,100",200,14.10%,0.003104,0.005039
Taft city,"2,900","2,800",100,4.20%,0.007894,0.003432
Taft Heights CDP,"1,200","1,000",100,10.90%,0.002952,0.003554
Tehachapi city,"3,800","3,600",200,5.60%,0.010215,0.005964
Tupman CDP,100,0,0,20.80%,0.000119,0.000316
Valley Acres CDP,200,200,0,7.50%,0.000459,0.000365
Wasco city,"8,800","7,400","1,400",16.20%,N/A,N/A
Weedpatch CDP,900,800,100,10.50%,0.002321,0.002702
Weldon CDP,900,800,100,8.80%,0.002374,0.002264
Wofford Heights CDP,600,500,0,3.10%,0.001543,0.000487
Calaveras County                                            ,"21,060","20,070",990,4.70%,1,1
Angels city,"1,770","1,770",0,0.20%,0.088212,0.003123
Arnold CDP,"1,250","1,180",70,5.70%,0.058848,0.0726
Avery CDP,310,290,30,8.60%,0.014293,0.027322
Copperopolis CDP,"2,290","2,200",90,3.80%,0.109682,0.088212
Dorrington CDP,80,80,0,0.00%,0.003947,0
Forest Meadows CDP,800,750,50,6.60%,0.037438,0.053084
