AreaName,Labor-Force,Employment,Unemployment-Number,Unemployment-Rate,CensusRatios-Emp,CensusRatios-Unemp
Mokelumne Hill CDP,230,170,60,26.30%,0.008373,0.060109
Mountain Ranch CDP,410,370,40,8.80%,0.018599,0.035909
Murphys CDP,880,850,30,3.50%,0.042342,0.031226
Rancho Calaveras CDP,"3,080","2,930",150,4.70%,0.146044,0.14598
San Andreas CDP,"1,500","1,460",40,2.30%,0.072723,0.035129
Valley Springs CDP,"1,980","1,950",30,1.50%,0.097004,0.029664
West Point CDP,170,170,0,0.00%,0.008612,0
Butte County                                                ,"102,200","96,300","5,900",5.80%,1,1
Biggs city,800,800,100,7.00%,0.008155,0.010076
Chico city,"48,400","46,300","2,200",4.50%,N/A,N/A
Concow CDP,200,200,0,10.80%,0.001884,0.003752
Durham CDP,"2,900","2,900",100,3.20%,0.029613,0.015757
Gridley city,"2,800","2,600",200,6.60%,0.027162,0.031515
Magalia CDP,"4,600","4,400",200,5.40%,0.045452,0.04202
Oroville city,"6,800","6,400",400,5.60%,0.066332,0.063994
Oroville East CDP,"2,900","2,800",200,6.10%,0.028639,0.030228
Palermo CDP,"2,100","1,800",300,12.00%,0.019018,0.042448
Paradise town,"11,200","10,600",600,5.40%,N/A,N/A
South Oroville CDP,"1,100","1,000",100,9.10%,0.010777,0.01758
Thermalito CDP,"2,500","2,200",200,8.90%,0.023213,0.036874
Colusa County                                               ,"10,830","9,290","1,540",14.20%,1,1
Arbuckle CDP,"1,910","1,580",330,17.30%,0.169588,0.214527
Colusa city,"2,980","2,580",390,13.20%,0.278036,0.255068
Williams city,"2,780","2,460",320,11.40%,0.265153,0.206081
Contra Costa County                                         ,"559,200","537,800","21,400",3.80%,1,1
Alamo CDP,"7,000","6,800",200,2.50%,0.012704,0.008201
Antioch city,"50,800","48,400","2,400",4.80%,N/A,N/A
Bay Point CDP,"11,200","10,300",900,7.80%,0.019135,0.040352
Bethel Island CDP,900,900,0,1.70%,0.001606,0.000679
Brentwood city,"28,900","27,700","1,200",4.20%,N/A,N/A
Byron CDP,700,700,0,4.70%,0.001315,0.00161
Clayton city,"6,000","5,900",100,2.20%,0.010923,0.006189
Clyde CDP,600,600,0,1.60%,0.001141,0.000478
Concord city,"65,900","63,500","2,300",3.60%,N/A,N/A
Crockett CDP,"1,700","1,600",100,4.40%,0.003022,0.003522
Danville town,"20,800","20,100",700,3.40%,N/A,N/A
Diablo CDP,100,100,0,0.00%,0.000254,0
Discovery Bay CDP,"7,800","7,500",300,3.70%,0.013905,0.013535
East Richmond Heights CDP,"2,000","2,000",0,1.90%,0.0037,0.001811
El Cerrito city,"13,800","13,400",400,3.10%,N/A,N/A
El Sobrante CDP,"7,500","7,200",300,4.20%,0.013295,0.014792
Hercules city,"13,900","13,400",500,3.50%,N/A,N/A
Kensington CDP,"2,900","2,900",100,2.00%,0.005304,0.002742
Knightsen CDP,700,700,0,4.40%,0.001214,0.001409
Lafayette city,"12,600","12,200",400,3.20%,N/A,N/A
Martinez city,"20,600","19,900",700,3.50%,N/A,N/A
Mountain View CDP,"1,400","1,300",100,6.60%,0.002456,0.004327
Oakley city,"19,700","18,800",800,4.20%,N/A,N/A
Orinda city,"9,100","8,900",200,2.30%,0.016468,0.009686
Pacheco CDP,"2,500","2,400",100,5.60%,0.004387,0.006491
Pinole city,"10,100","9,800",300,3.20%,0.018259,0.015019
Pittsburg city,"34,200","32,700","1,500",4.40%,N/A,N/A
Pleasant Hill city,"18,100","17,500",600,3.50%,N/A,N/A
Port Costa CDP,100,100,0,0.00%,0.000273,0
Richmond city,"52,900","50,600","2,300",4.30%,N/A,N/A
Rodeo CDP,"4,900","4,700",200,4.80%,0.008717,0.010994
Rollingwood CDP,"1,500","1,400",100,5.20%,0.002634,0.003623
San Pablo city,"13,900","13,300",600,4.10%,N/A,N/A
San Ramon city,"39,700","38,400","1,300",3.20%,N/A,N/A
Tara Hills CDP,"2,500","2,400",100,5.40%,0.004425,0.00634
Vine Hill CDP,"1,800","1,700",100,4.70%,0.003185,0.003925
Walnut Creek city,"34,300","33,200","1,200",3.40%,N/A,N/A
Del Norte County                                            ,"9,720","9,090",620,6.40%,1,1
Bertsch Oceanview CDP,810,710,100,12.80%,0.077785,0.165939
Crescent City city,"1,500","1,410",90,6.10%,0.154656,0.146288
Klamath CDP,280,250,30,11.00%,0.027454,0.049127
Imperial County                                             ,"72,100","58,000","14,100",19.50%,1,1
Brawley city,"10,400","8,600","1,700",16.70%,N/A,N/A
Calexico city,"18,300","12,600","5,600",30.70%,N/A,N/A
Calipatria city,"1,200",900,300,23.30%,0.015898,0.019886
El Centro city,"18,700","15,900","2,800",15.20%,N/A,N/A
Heber CDP,"1,800","1,300",400,23.90%,0.02316,0.029961
Holtville city,"2,500","2,000",500,20.60%,0.034423,0.036706
Imperial city,"8,000","6,800","1,200",14.50%,0.117292,0.082348
Westmorland city,900,800,100,16.00%,0.013321,0.010425
El Dorado County                                            ,"89,900","86,000","3,900",4.40%,1,1
Cameron Park CDP,"9,400","9,000",400,4.00%,0.10465,0.095569
Diamond Springs CDP,"4,900","4,600",300,6.20%,0.053326,0.076967
El Dorado Hills CDP,"22,400","21,600",800,3.50%,0.25149,0.202499
Georgetown CDP,"1,000",900,100,5.80%,0.01075,0.014485
Placerville city,"4,700","4,500",200,4.60%,0.051908,0.054672
Pollock Pines CDP,"3,100","3,000",100,3.70%,0.034962,0.029253
Shingle Springs CDP,"2,100","2,000",100,3.90%,0.023478,0.020733
South Lake Tahoe city,"12,300","11,600",600,5.20%,0.135157,0.161602
Fresno County                                               ,"445,300","407,400","37,900",8.50%,1,1
Auberry CDP,"1,000","1,000",0,4.10%,0.002454,0.001125
Biola CDP,600,500,100,18.50%,0.001158,0.002825
Calwa CDP,800,700,100,12.20%,0.001781,0.00267
Cantua Creek CDP,100,100,0,5.60%,0.000329,0.000221
Caruthers CDP,"1,400","1,300",100,10.10%,0.003133,0.003774
Clovis city,"52,900","50,500","2,400",4.50%,N/A,N/A
Coalinga city,"6,300","5,700",600,9.20%,0.014018,0.015205
Del Rey CDP,600,500,100,9.80%,0.001224,0.001412
Easton CDP,"1,000",900,100,9.70%,0.002286,0.002626
Firebaugh city,"3,900","3,300",500,14.10%,0.008168,0.01441
Fowler city,"2,900","2,700",200,7.80%,0.006528,0.005958
Fresno city,"231,300","215,600","15,700",6.80%,N/A,N/A
Friant CDP,200,200,0,13.90%,0.000423,0.000728
Huron city,"2,700","2,400",300,9.40%,0.00601,0.006664
Kerman city,"6,700","6,300",500,7.10%,0.015365,0.012557
Kingsburg city,"5,600","5,200",400,7.80%,0.012661,0.011475
Lanare CDP,100,100,0,10.10%,0.000153,0.000177
Laton CDP,800,700,100,10.60%,0.001694,0.002163
Mendota city,"5,100","4,100","1,000",19.30%,0.010031,0.025775
Orange Cove city,"3,700","3,200",400,11.20%,0.007972,0.010813
Parlier city,"6,600","6,000",600,8.60%,0.014747,0.014962
Raisin City CDP,100,100,0,6.80%,0.000301,0.000243
Reedley city,"13,100","10,600","2,500",19.10%,N/A,N/A
Riverdale CDP,"1,500","1,400",200,10.30%,0.003329,0.004105
San Joaquin city,"1,500","1,300",100,8.20%,0.003311,0.003156
Sanger city,"11,500","10,400","1,100",9.70%,N/A,N/A
Selma city,"10,600","9,800",800,7.30%,0.024071,0.020236
Shaver Lake CDP,300,300,0,1.00%,0.000712,0.000066
Squaw Valley CDP,"1,400","1,300",100,7.60%,0.003194,0.002825
Tranquillity CDP,300,300,0,0.00%,0.00064,0
Glenn County                                                ,"12,830","11,870",960,7.50%,1,1
Hamilton City CDP,940,910,30,3.00%,0.076659,0.029197
Orland city,"3,640","3,330",310,8.40%,0.280464,0.321168
Willows city,"2,620","2,410",200,7.80%,0.203341,0.212591
Kings County                                                ,"57,400","52,300","5,100",8.90%,1,1
Armona CDP,"1,500","1,300",200,12.60%,0.02485,0.0366
Avenal city,"3,800","3,400",400,11.50%,0.064656,0.086222
Corcoran city,"4,600","3,800",800,17.30%,N/A,N/A
Hanford city,"24,800","23,000","1,800",7.40%,N/A,N/A
Home Garden CDP,800,700,100,13.00%,0.012547,0.01918
Kettleman City CDP,800,700,100,8.70%,0.01345,0.013197
Lemoore city,"12,100","11,300",800,6.30%,N/A,N/A
Lemoore Station CDP,"1,300","1,200",100,9.20%,0.023308,0.024107
Stratford CDP,400,300,100,26.40%,0.005926,0.021819
Humboldt County                                             ,"62,600","60,000","2,600",4.20%,1,1
Arcata city,"9,100","8,500",600,6.90%,0.141026,0.237949
Blue Lake city,600,600,0,2.50%,0.009213,0.005299
Eureka city,"12,800","12,200",500,4.10%,N/A,N/A
Ferndale city,700,700,0,1.50%,0.010857,0.003932
Fortuna city,"5,100","4,800",300,4.90%,0.080061,0.095214
Hydesville CDP,500,500,0,0.80%,0.008491,0.001709
McKinleyville CDP,"8,000","7,700",300,3.90%,0.127635,0.118974
Redway CDP,800,700,0,5.20%,0.011948,0.014872
Rio Dell city,"1,300","1,300",0,3.00%,0.021362,0.015214
Trinidad city,100,100,0,0.00%,0.001863,0
Willow Creek CDP,400,400,0,2.80%,0.006863,0.004444
Inyo County                                                 ,"8,630","8,250",380,4.40%,1,1
Big Pine CDP,700,640,60,8.60%,0.077341,0.16
Bishop city,"1,760","1,720",40,2.40%,0.20858,0.111111
Cartago CDP,10,10,0,0.00%,0.000725,0
Darwin CDP,0,0,0,0.00%,0.000483,0
Dixon Lane Meadow Creek CDP,"1,210","1,160",50,4.00%,0.141027,0.126667
Furnace Creek CDP,120,120,0,0.80%,0.014622,0.002222
Independence CDP,250,240,10,3.60%,0.029607,0.024444
Keeler CDP,0,0,0,0.00%,0.000483,0
Lone Pine CDP,810,780,40,4.80%,0.093897,0.104444
Mesa CDP,160,150,10,5.00%,0.018248,0.022222
Olancha CDP,130,120,10,10.20%,0.013897,0.033333
Round Valley CDP,210,210,0,1.40%,0.025136,0.006667
Shoshone CDP,10,10,0,0.00%,0.000725,0
Tecopa CDP,50,30,20,38.50%,0.003867,0.053333
West Bishop CDP,"1,360","1,320",40,2.80%,0.16,0.1
Wilkerson CDP,260,250,10,3.10%,0.02997,0.022222
Lake County                                                 ,"29,370","27,680","1,690",5.80%,1,1
Clearlake city,"6,270","5,740",530,8.40%,0.207439,0.310237
Clearlake Oaks CDP,810,740,70,8.50%,0.026707,0.040738
Cobb CDP,550,530,20,3.10%,0.019259,0.009749
Hidden Valley Lake CDP,"2,970","2,900",70,2.20%,0.104931,0.038997
Kelseyville CDP,"1,360","1,260",110,7.80%,0.045392,0.062674
Lakeport city,"2,490","2,400",80,3.40%,0.086863,0.049791
Lower Lake CDP,660,640,30,4.10%,0.023005,0.016017
Lucerne CDP,"1,360","1,280",80,6.10%,0.046274,0.049095
Middletown CDP,430,410,20,5.20%,0.014631,0.013231
Nice CDP,"1,010",960,50,5.10%,0.034683,0.030989
North Lakeport CDP,"1,590","1,530",60,3.80%,0.055396,0.035167
Upper Lake CDP,500,480,20,3.00%,0.017452,0.009053
Lassen County                                               ,"10,050","9,500",550,5.50%,1,1
Susanville city,"3,170","2,990",170,5.40%,0.315289,0.311385
Westwood CDP,820,790,30,3.70%,0.082634,0.05487
Los Angeles County,"5,096,500","4,853,800","242,700",4.80%,1,1
Acton CDP,"3,700","3,400",200,6.70%,0.000705,0.001004
Agoura Hills city,"11,600","11,100",500,4.10%,N/A,N/A
Alhambra city,"46,500","44,600","1,900",4.10%,N/A,N/A
Alondra Park CDP,"3,700","3,400",200,5.90%,0.000711,0.000891
Altadena CDP,"23,900","23,100",900,3.60%,0.004749,0.003538
Arcadia city,"29,700","28,700","1,100",3.60%,N/A,N/A
Artesia city,"8,000","7,800",200,2.90%,0.001606,0.000947
Avalon city,"2,000","2,000",0,1.30%,0.00041,0.000113
Avocado Heights CDP,"7,800","7,300",500,5.90%,0.001507,0.001895
Azusa city,"25,100","23,900","1,200",4.80%,N/A,N/A
Baldwin Park city,"34,700","32,900","1,800",5.10%,N/A,N/A
Bell city,"15,100","14,300",800,5.40%,N/A,N/A
Bell Gardens city,"18,200","17,300",900,5.00%,N/A,N/A
Bellflower city,"36,500","34,600","1,900",5.30%,N/A,N/A
Beverly Hills city,"18,400","17,600",800,4.20%,N/A,N/A
Bradbury city,500,500,0,3.20%,0.000101,0.000064
Burbank city,"59,300","56,200","3,100",5.20%,N/A,N/A
Calabasas city,"12,300","11,900",400,3.10%,0.002456,0.001592
Carson city,"46,100","43,800","2,300",5.00%,N/A,N/A
Cerritos city,"25,500","24,500","1,100",4.10%,N/A,N/A
Charter Oak CDP,"4,800","4,500",300,5.60%,0.000928,0.00109
Citrus CDP,"5,500","5,200",200,4.40%,0.001076,0.000987
Claremont city,"16,900","16,200",700,4.30%,N/A,N/A
Commerce city,"6,000","5,600",400,6.80%,0.001157,0.00169
Compton city,"39,300","36,800","2,500",6.30%,N/A,N/A
Covina city,"24,100","22,900","1,200",5.20%,N/A,N/A
Cudahy city,"10,100","9,600",500,4.90%,N/A,N/A
Culver City city,"22,900","21,900","1,000",4.50%,N/A,N/A
Del Aire CDP,"5,700","5,500",300,4.50%,0.001123,0.001048
Desert View Highlands CDP,"1,000",900,100,6.70%,0.000189,0.000273
Diamond Bar city,"30,300","29,200","1,100",3.80%,N/A,N/A
Downey city,"57,400","54,800","2,600",4.50%,N/A,N/A
Duarte city,"11,200","10,600",600,5.40%,0.002185,0.002495
East Los Angeles CDP,"57,600","53,000","4,500",7.80%,0.010929,0.018579
East Pasadena CDP,"3,200","3,100",100,2.40%,0.000641,0.000317
East San Gabriel CDP,"7,700","7,600",100,1.50%,0.001559,0.000465
El Monte city,"51,700","49,200","2,400",4.70%,N/A,N/A
El Segundo city,"9,600","9,300",400,3.90%,0.00191,0.001538
Florence Graham CDP,"27,400","25,600","1,700",6.40%,0.005282,0.007182
Gardena city,"30,300","28,900","1,500",4.90%,N/A,N/A
Glendale city,"103,700","99,100","4,500",4.40%,N/A,N/A
Glendora city,"26,200","25,000","1,100",4.40%,N/A,N/A
Hacienda Heights CDP,"26,100","25,200",900,3.60%,0.005193,0.003846
Hawaiian Gardens city,"6,000","5,700",400,6.30%,0.001164,0.00158
Hawthorne city,"44,900","42,800","2,100",4.70%,N/A,N/A
Hermosa Beach city,"12,600","12,300",300,2.20%,0.002541,0.001156
Hidden Hills city,600,600,0,3.90%,0.000123,0.000101
Huntington Park city,"26,700","25,400","1,300",4.90%,N/A,N/A
Industry city,200,100,0,7.70%,0.00003,0.000049
Inglewood city,"52,800","49,900","2,900",5.50%,N/A,N/A
Irwindale city,600,600,0,7.30%,0.000121,0.000189
La Canada Flintridge city,"9,700","9,500",200,2.00%,0.00195,0.000816
La Crescenta Montrose CDP,"10,300","10,000",300,2.90%,0.002056,0.001243
La Habra Heights city,"2,500","2,400",100,2.20%,0.000502,0.000231
La Mirada city,"24,300","23,200","1,100",4.40%,N/A,N/A
La Puente city,"19,100","18,200",900,4.90%,N/A,N/A
La Verne city,"16,100","15,400",700,4.40%,N/A,N/A
Ladera Heights CDP,"3,600","3,400",200,5.70%,0.000695,0.000834
Lake Los Angeles CDP,"4,000","3,600",300,8.80%,0.000747,0.001434
Lakewood city,"43,100","41,200","1,900",4.40%,N/A,N/A
Lancaster city,"65,100","60,700","4,400",6.70%,N/A,N/A
Lawndale city,"16,600","15,900",700,4.30%,N/A,N/A
Lennox CDP,"10,600","10,000",600,5.90%,0.002052,0.002586
Littlerock CDP,500,500,0,6.80%,0.000098,0.000145
Lomita city,"11,500","11,000",500,4.10%,0.00227,0.001934
Long Beach city,"238,300","226,700","11,600",4.90%,N/A,N/A
Los Angeles city,"2,064,100","1,965,300","98,800",4.80%,N/A,N/A
Lynwood city,"28,600","27,000","1,600",5.60%,N/A,N/A
Malibu city,"6,600","6,400",200,2.90%,0.001312,0.000785
Manhattan Beach city,"19,900","19,200",700,3.50%,N/A,N/A
Marina del Rey CDP,"7,100","6,800",200,3.10%,0.001411,0.000908
Mayflower Village CDP,"3,100","3,000",100,3.50%,0.000614,0.00044
Maywood city,"12,400","11,900",600,4.60%,N/A,N/A
Monrovia city,"21,000","20,100",800,4.00%,N/A,N/A
Montebello city,"29,000","27,500","1,500",5.20%,N/A,N/A
Monterey Park city,"29,500","28,200","1,300",4.30%,N/A,N/A
North El Monte CDP,"1,800","1,800",0,2.10%,0.00037,0.000157
Norwalk city,"50,600","48,100","2,500",4.90%,N/A,N/A
Palmdale city,"64,300","60,200","4,100",6.30%,N/A,N/A
Palos Verdes Estates city,"5,700","5,600",100,2.00%,0.001152,0.00047
Paramount city,"24,700","23,400","1,300",5.10%,N/A,N/A
Pasadena city,"79,100","75,900","3,200",4.10%,N/A,N/A
Pico Rivera city,"30,500","28,900","1,600",5.20%,N/A,N/A
Pomona city,"67,900","64,400","3,600",5.20%,N/A,N/A
Quartz Hill CDP,"4,200","4,000",200,4.80%,0.000826,0.000837
Rancho Palos Verdes city,"19,700","18,900",800,3.80%,N/A,N/A
Redondo Beach city,"41,400","39,800","1,600",3.90%,N/A,N/A
Rolling Hills city,600,600,0,4.10%,0.000119,0.000103
Rolling Hills Estates city,"3,500","3,400",100,2.50%,0.000699,0.000359
Rosemead city,"25,200","24,000","1,200",4.80%,N/A,N/A
Rowland Heights CDP,"24,700","23,900",800,3.10%,0.004932,0.003196
San Dimas city,"18,000","17,200",800,4.40%,N/A,N/A
San Fernando city,"11,700","11,200",600,4.90%,0.002299,0.002394
San Gabriel city,"21,500","20,600",800,3.90%,N/A,N/A
San Marino city,"5,600","5,500",100,2.20%,0.001134,0.000517
Santa Clarita city,"112,300","107,700","4,600",4.10%,N/A,N/A
Santa Fe Springs city,"8,300","8,100",300,3.00%,0.001663,0.001041
Santa Monica city,"56,500","54,000","2,500",4.50%,N/A,N/A
Sierra Madre city,"5,800","5,600",200,3.80%,0.001154,0.000915
Signal Hill city,"6,300","6,000",200,3.90%,0.001245,0.001014
South El Monte city,"9,300","8,900",400,4.20%,0.001826,0.001604
South Gate city,"42,900","40,700","2,200",5.20%,N/A,N/A
South Pasadena city,"14,900","14,400",600,3.80%,N/A,N/A
South San Gabriel CDP,"4,100","4,000",100,3.50%,0.000816,0.000598
South San Jose Hills CDP,"9,100","8,600",600,6.20%,0.001768,0.002318
South Whittier CDP,"27,200","26,100","1,100",3.90%,0.005381,0.004328
Temple City city,"18,300","17,600",700,3.90%,N/A,N/A
Torrance city,"78,500","75,500","3,100",3.90%,N/A,N/A
Val Verde CDP,"1,600","1,500",100,8.30%,0.000299,0.000539
Valinda CDP,"12,600","11,900",800,6.00%,0.002444,0.003103
Vernon city,0,0,0,7.10%,0.000008,0.000012
View Park Windsor Hills CDP,"5,500","5,100",500,8.50%,0.001043,0.001944
Walnut city,"16,000","15,400",600,3.80%,N/A,N/A
Walnut Park CDP,"7,600","7,200",400,5.20%,0.001492,0.001634
West Athens CDP,"4,600","4,200",300,7.60%,0.000872,0.001432
West Carson CDP,"11,300","10,800",500,4.20%,0.002224,0.001973
West Covina city,"53,100","50,600","2,500",4.70%,N/A,N/A
West Hollywood city,"27,300","25,800","1,500",5.40%,N/A,N/A
West Puente Valley CDP,"11,300","10,600",700,6.20%,0.00218,0.002906
West Whittier Los Nietos CDP,"12,700","12,300",400,3.30%,0.00254,0.001722
