AreaName,Labor-Force,Employment,Unemployment-Number,Unemployment-Rate,CensusRatios-Emp,CensusRatios-Unemp
Rolling Hills city,600,600,0,3.50%,0.000119,0.000103
Rolling Hills Estates city,"3,500","3,400",100,2.10%,0.000699,0.000359
Rosemead city,"24,900","24,000",900,3.60%,N/A,N/A
Rowland Heights CDP,"24,600","23,900",600,2.60%,0.004932,0.003196
San Dimas city,"17,800","17,200",600,3.50%,N/A,N/A
San Fernando city,"11,600","11,200",500,4.20%,0.002299,0.002394
San Gabriel city,"21,300","20,600",700,3.20%,N/A,N/A
San Marino city,"5,600","5,500",100,1.90%,0.001134,0.000517
Santa Clarita city,"111,900","107,700","4,200",3.80%,N/A,N/A
Santa Fe Springs city,"8,300","8,100",200,2.50%,0.001663,0.001041
Santa Monica city,"56,200","54,000","2,200",4.00%,N/A,N/A
Sierra Madre city,"5,800","5,600",200,3.20%,0.001154,0.000915
Signal Hill city,"6,200","6,000",200,3.30%,0.001245,0.001014
South El Monte city,"9,200","8,900",300,3.50%,0.001826,0.001604
South Gate city,"42,400","40,700","1,700",4.10%,N/A,N/A
South Pasadena city,"14,800","14,400",500,3.30%,N/A,N/A
South San Gabriel CDP,"4,100","4,000",100,3.00%,0.000816,0.000598
South San Jose Hills CDP,"9,000","8,600",500,5.20%,0.001768,0.002318
South Whittier CDP,"27,000","26,100",900,3.30%,0.005381,0.004328
Temple City city,"18,100","17,600",600,3.00%,N/A,N/A
Torrance city,"77,900","75,500","2,500",3.20%,N/A,N/A
Val Verde CDP,"1,600","1,500",100,7.00%,0.000299,0.000539
Valinda CDP,"12,500","11,900",600,5.00%,0.002444,0.003103
Vernon city,0,0,0,4.90%,0.000008,0.000012
View Park Windsor Hills CDP,"5,500","5,100",400,7.20%,0.001043,0.001944
Walnut city,"15,900","15,400",500,3.00%,N/A,N/A
Walnut Park CDP,"7,600","7,200",300,4.40%,0.001492,0.001634
West Athens CDP,"4,500","4,200",300,6.40%,0.000872,0.001432
West Carson CDP,"11,200","10,800",400,3.60%,0.002224,0.001973
West Covina city,"52,600","50,600","2,000",3.90%,N/A,N/A
West Hollywood city,"27,000","25,800","1,200",4.60%,N/A,N/A
West Puente Valley CDP,"11,200","10,600",600,5.30%,0.00218,0.002906
West Whittier Los Nietos CDP,"12,700","12,300",400,2.80%,0.00254,0.001722
Westlake Village city,"4,000","3,900",100,2.10%,0.000802,0.000413
Westmont CDP,"13,100","12,100",900,7.30%,0.002498,0.004675
Whittier city,"43,600","41,900","1,700",3.90%,N/A,N/A
Willowbrook CDP,"9,500","8,900",600,6.10%,0.001834,0.002837
